Job Post,Company,Skills,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
Cpa Executive,Teamspace Financial Services,"CAP,Cibil Check,MS Excel,HL,Credit Underwriting,Home Loans,login desk,Credit officer",4.3,(111 Reviews),1-6 Yrs,"50,000 - 2,50,000 PA.","New Delhi, Pune, Delhi / NCR",14 Days Ago,https://www.naukri.com/job-listings-cpa-executive-teamspace-financial-services-pvt-ltd-new-delhi-pune-delhi-ncr-1-to-6-years-160822010847
International Business Development Executive Fresher-German Language.,RGBSI,"Communication Skills,BD,BDE,B2B Sales,sales,Engineering,Lead Generation,Good Communication In English",4.1,(61 Reviews),0-1 Yrs,Not disclosed,Bangalore/Bengaluru,14 Days Ago,https://www.naukri.com/job-listings-international-business-development-executive-fresher-german-language-rapid-global-business-solutions-india-pvt-ltd-bangalore-bengaluru-0-to-1-years-160822010560
SAP Plant Maintenance Consultant - Immediate Joiner !!!,Gemini Consulting Services,"sap pm,SAP,IT Skills,plant maintenance,Sap Plant Maintenance",3.8,(78 Reviews),5-10 Yrs,"5,00,000 - 12,00,000 PA.",Hyderabad/Secunderabad,5 Days Ago,https://www.naukri.com/job-listings-sap-plant-maintenance-consultant-immediate-joiner-gemini-consulting-services-india-pvt-ltd-hyderabad-secunderabad-5-to-10-years-250822601721
Senior Executive - Training,village financial services pvt ltd,"Excel,NBFC,Management,MS Office,microsoft,Powerpoint,Executive Training",3.9,(92 Reviews),5-7 Yrs,Not disclosed,"Bhopal, Raipur",5 Days Ago,https://www.naukri.com/job-listings-senior-executive-training-village-financial-services-pvt-ltd-bhopal-raipur-5-to-7-years-250822501085
Senior Manager Escalations,TransUnion,"agile,root cause analysis,BPO,Analytical skills,Interpersonal skills,Team management,Operational excellence,Bfsi",4.3,(127 Reviews),5-6 Yrs,Not disclosed,Mumbai,5 Days Ago,https://www.naukri.com/job-listings-senior-manager-escalations-transunion-software-services-pvt-ltd-mumbai-5-to-6-years-250822500172
Java Developers For F1 Team,TransUnion,"JBoss application servers,Linux,MySQL,Docker,PKI,troubleshooting,Grafana,written",4.3,(127 Reviews),5-8 Yrs,Not disclosed,Chennai,5 Days Ago,https://www.naukri.com/job-listings-java-developers-for-f1-team-transunion-software-services-pvt-ltd-chennai-5-to-8-years-250822500169
"Engineer, Quality Assurance",TransUnion,"Unix,Web application testing,Automation testing,GIT,Performance testing,Manual,Agile methodology,Windows",4.3,(127 Reviews),4-6 Yrs,Not disclosed,Chennai,5 Days Ago,https://www.naukri.com/job-listings-engineer-quality-assurance-transunion-software-services-pvt-ltd-chennai-4-to-6-years-250822500168
Dot Net Developers For F1 Team,TransUnion,"SQL scripts,Sprint Planning,agile,SDLC,ASP Net,Solution design,Coding,Agile development",4.3,(127 Reviews),4-8 Yrs,Not disclosed,Chennai,5 Days Ago,https://www.naukri.com/job-listings-dot-net-developers-for-f1-team-transunion-software-services-pvt-ltd-chennai-4-to-8-years-250822500167
Trainee - Process Specialist,Principal Global Services Pvt Ltd,"Analytical skills,Service level,Quality standards,Work management,Compliance,Information security,Finance,Technical documentation",4.3,(347 Reviews),1-2 Yrs,Not disclosed,Pune,5 Days Ago,https://www.naukri.com/job-listings-trainee-process-specialist-principal-global-services-pvt-ltd-pune-1-to-2-years-250822500097
Power BI Developer/snow flake,S P A Enterprise Info Services,"IT Skills,Power BI,Power BI Developer/snow flake",5.0,(2 Reviews),6-11 Yrs,Not disclosed,Hyderabad/Secunderabad,4 Days Ago,https://www.naukri.com/job-listings-power-bi-developer-snow-flake-s-p-a-enterprise-info-services-india-pvt-ltd-hyderabad-secunderabad-6-to-11-years-250822010186
Sr. Healthcare Recruiter,Sgs Technical Services,"US Staffing,ATS,Healthcare Domain,Sourcing Strategy,Linkedin,Monster,Hiring,Careerbuilder",4.2,(23 Reviews),2-5 Yrs,Not disclosed,Indore,5 Days Ago,https://www.naukri.com/job-listings-sr-healthcare-recruiter-sgs-technical-services-pvt-ltd-indore-2-to-5-years-250822009708
SBI Premium Proess,Teleperformance (TP),"BPO,hiring,inbound,hr,customer support,BANKING,ctc,ENGLISH",3.6,(13783 Reviews),1-2 Yrs,"2,00,000 - 2,75,000 PA.",Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-sbi-proess-teleperformance-global-services-pvt-ltd-bangalore-bengaluru-1-to-2-years-250822009423
US Process Trainer,iEnergizer,"process training,TNA,Soft Skills Training,VNA,Leadership Training,Behavioral Training",3.7,(2785 Reviews),1-6 Yrs,Not disclosed,Noida,5 Days Ago,https://www.naukri.com/job-listings-us-process-trainer-ienergizer-a-unit-of-granada-services-pri-ltd-noida-1-to-6-years-250822009382
Accounting Manager,Neovia Logistics,"financial reporting,financial accounting",4.2,(39 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-accounting-manager-neovia-logistics-services-india-pvt-ltd-bangalore-bengaluru-4-to-6-years-250822009231
Asst. Manager - HSE For Hyderabad (Hitech City),ISS India,"EHS,HSE",4.2,(887 Reviews),5-10 Yrs,"3,50,000 - 5,00,000 PA.",Hyderabad/Secunderabad,5 Days Ago,https://www.naukri.com/job-listings-asst-manager-hse-for-hyderabad-hitech-city-iss-facility-services-india-pvt-ltd-hyderabad-secunderabad-5-to-10-years-250822009182
